datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,windspeed,windspeedmax,windspeedmin,winddir,sealevelpressure,cloudcover,visibility,uvindex,description
2023-04-12,24.1,16.1,19.7,24.1,16.1,19.7,15.7,79.3,0.2,100,4.17,rain,25.3,25.3,0.4,72.6,1021.8,83.3,10.3,9,Partly cloudy throughout the day with morning rain.
2023-04-13,24,16.1,19.6,24,16.1,19.6,15.5,79,0,0,0,rain,27.3,27.3,0.6,66.9,1022.6,88.7,10.3,9,Partly cloudy throughout the day.
2023-04-14,19.9,17,18,19.9,17,18,15.9,87.8,14,100,4.17,rain,18.4,18.4,0.9,61,1023,86.9,10.2,9,Partly cloudy throughout the day with late afternoon rain.
2023-04-15,24,16.9,19.3,24,16.9,19.3,15.4,79.7,0,0,0,rain,36.2,36.2,0.9,78.3,1022.1,80.8,10,8,Partly cloudy throughout the day.
2023-04-16,24,16,19.2,24,16,19.2,15.2,78.8,0.1,100,4.17,rain,26.7,26.7,0.4,82,1021.1,82.2,10.1,9,Partly cloudy throughout the day with afternoon rain.
2023-04-17,24,16,19.6,24,16,19.6,14.9,75.9,0,0,0,rain,31.4,31.4,0,83.1,1020.5,81.1,10.4,8,Partly cloudy throughout the day.
2023-04-18,25.9,17,20.3,25.9,17,20.3,14.7,72.7,1,100,4.17,rain,26.9,26.9,8.9,79.9,1022.1,71.5,10.1,8,Partly cloudy throughout the day with morning rain.
2023-04-19,25.9,16,20,25.9,16,20,14.6,73.7,0.1,100,4.17,rain,21.7,21.7,0,105.4,1022.3,76.7,10.3,9,Partly cloudy throughout the day with early morning rain.
2023-04-20,26,16,20.5,26,16,20.5,14.3,70.5,0,0,0,rain,26.3,26.3,0,86,1019.3,72.6,10.3,8,Partly cloudy throughout the day.
2023-04-21,26.9,17.1,21.3,26.9,17.1,21.3,14.4,67.1,0,0,0,rain,18,18,0,93.2,1017.7,76.1,10.3,10,Partly cloudy throughout the day.
2023-04-22,23,17.1,19.5,23,17.1,19.5,16.1,81.4,0.4,100,12.5,rain,22.5,22.5,0,127.7,1019.2,78.7,10.5,7,Partly cloudy throughout the day with a chance of rain throughout the day.
2023-04-23,25.9,16,20,25.9,16,20,14.9,74,1.4,100,4.17,rain,24.1,24.1,0.3,97.8,1020,85.7,10.3,9,Partly cloudy throughout the day with early morning rain.
2023-04-24,26,17.1,21,26,17.1,21,15.4,72.7,0,0,0,rain,24.7,24.7,0.4,89,1020.7,73.9,10.3,8,Partly cloudy throughout the day.
2023-04-25,23.6,17.1,19.2,23.6,17.1,19.2,16.3,83.6,1,100,4.17,rain,19.2,19.2,0.4,74.8,1021.4,86.7,10.3,6,Partly cloudy throughout the day with afternoon rain.
2023-04-26,24.9,17,19.4,24.9,17,19.4,15.6,80,11,100,8.33,rain,21.3,21.3,0.4,105.4,1021.6,88.7,10.4,5,Partly cloudy throughout the day with rain.
2023-04-27,24,16.1,20,24,16.1,20,15.5,76.9,0,0,0,rain,18.2,18.2,0.4,126.2,1020.6,75.8,10.2,8,Partly cloudy throughout the day.
2023-04-28,21.7,16.1,18.2,21.7,16.1,18.2,15.9,86.4,17,100,4.17,rain,21.2,21.2,0,116.7,1021.8,88.9,10.2,6,Partly cloudy throughout the day with afternoon rain.
2023-04-29,22,15,18.5,22,15,18.5,15,81.1,0.1,100,4.17,rain,18.4,18.4,0,150.2,1021.3,84.7,10.4,5,Partly cloudy throughout the day with afternoon rain.
2023-04-30,23.9,16.9,18.7,23.9,16.9,18.7,15.9,84.6,0,0,0,rain,18.4,18.4,0.4,199.1,1021.7,90.3,10,6,Cloudy skies throughout the day.
2023-05-01,21.9,16.9,18.6,21.9,16.9,18.6,15.7,83.8,0,0,0,rain,18.6,18.6,0,62,1022.4,88.4,10.1,5,Partly cloudy throughout the day.
2023-05-02,24,15.9,19.3,24,15.9,19.3,15.5,79.8,0.5,100,12.5,rain,25.3,25.3,0.5,92.9,1021.7,80.3,11.6,8,Partly cloudy throughout the day with late afternoon rain.
2023-05-03,22.2,17,18.5,22.2,17,18.5,15.9,85.1,1.7,100,45.83,rain,16.9,16.9,0,109,1021.6,83.8,15.1,6,Partly cloudy throughout the day with a chance of rain throughout the day.
2023-05-04,24.9,16.6,19.8,24.9,16.6,19.8,14.1,71.9,0.4,100,16.67,rain,18,18,0,94.5,1022.8,77.6,12.9,9,Partly cloudy throughout the day with rain.
2023-05-05,25,15.1,19.9,25,15.1,19.9,14.1,71.7,0,0,0,rain,22.1,22.1,0,92,1024,74,10.3,8,Partly cloudy throughout the day.
2023-05-06,24.9,17,19.8,24.9,17,19.8,14.8,74.4,0,0,0,rain,22.1,22.1,0,113.9,1024,76.7,10.3,7,Partly cloudy throughout the day.
2023-05-07,24.9,17,20.2,24.9,17,20.2,14.7,72.3,0,0,0,rain,25.3,25.3,7.3,89.5,1023.8,81.3,10.4,8,Partly cloudy throughout the day.
2023-05-08,25,16.9,20.1,25,16.9,20.1,14.7,72.9,0,0,0,rain,23.5,23.5,0.4,92.2,1022.8,83,11,8,Partly cloudy throughout the day.
2023-05-09,23,16.1,18.8,23,16.1,18.8,15.4,81.7,0,0,0,rain,17.5,17.5,0.9,152.7,1022.9,86.2,10.8,8,Partly cloudy throughout the day.
2023-05-10,22.9,16.8,19.2,22.9,16.8,19.2,14.9,77,2,100,4.17,rain,18.8,18.8,0.4,105.7,1022.7,87.9,11.8,7,Partly cloudy throughout the day with late afternoon rain.
2023-05-11,23,16,18.9,23,16,18.9,14.7,77.6,0,0,0,rain,18,18,0.4,119.4,1023.8,86.6,11.8,8,Partly cloudy throughout the day.
2023-05-12,24.2,16,19.8,24.2,16,19.8,14.4,72.6,0,0,0,rain,18.8,18.8,0,118.2,1023.8,75.2,12.3,8,Partly cloudy throughout the day.
2023-05-13,25.9,16.8,20.6,25.9,16.8,20.6,14.3,69.3,0.1,100,4.17,rain,18.4,18.4,0.4,127,1025.3,82.4,12.7,8,Partly cloudy throughout the day with afternoon rain.
2023-05-14,24.8,16.1,19.9,24.8,16.1,19.9,15,75.2,0.4,100,4.17,rain,17.1,17.1,0,147.1,1025.3,83.9,12.3,8,Partly cloudy throughout the day with late afternoon rain.
2023-05-15,24.9,15.9,19.9,24.9,15.9,19.9,14.4,72.1,0,0,0,rain,17.8,17.8,0.2,128.8,1024.7,81.8,12.2,8,Partly cloudy throughout the day.
2023-05-16,24.2,16,19.9,24.2,16,19.9,14.2,70.3,0.1,100,4.17,rain,17.3,17.3,0.2,136,1024,87.5,12.1,7,Partly cloudy throughout the day with late afternoon rain.
2023-05-17,23.9,17,19.7,23.9,17,19.7,14.6,73.1,0,0,0,rain,14.8,14.8,0.4,93.5,1024.2,88.2,12.1,6,Partly cloudy throughout the day.
2023-05-18,25,15.9,19.9,25,15.9,19.9,14.4,72.4,0.4,100,4.17,rain,18,18,0.5,109,1024.3,84.2,11.8,8,Partly cloudy throughout the day with late afternoon rain.
2023-05-19,25,16.7,20.4,25,16.7,20.4,14,68.2,0,0,0,rain,20.4,20.4,0,110.2,1024.4,86.9,12.1,8,Partly cloudy throughout the day.
2023-05-20,28.1,13.8,21.3,27.3,13.8,21.2,13.3,63,0,0,0,,18.4,18.4,0,103.7,1023.1,65.3,12.2,10,Partly cloudy throughout the day.
2023-05-21,26.7,15.5,21,26.7,15.5,21,13.7,64.6,0,0,0,rain,26.9,26.9,0,122.9,1022.7,66.9,12.4,8,Partly cloudy throughout the day.
2023-05-22,27,16.8,21.3,26.7,16.8,21.2,14.2,66.9,0,0,0,rain,20.8,20.8,0.6,98.7,1023.1,64.9,12.5,8,Partly cloudy throughout the day.
2023-05-23,25.8,16.8,20,25.8,16.8,20,14.9,74.1,0,0,0,rain,23.3,23.3,0,119.5,1023.3,71.2,12.4,8,Partly cloudy throughout the day.
2023-05-24,25,16.7,20,25,16.7,20,13.9,69.8,0.1,100,4.17,rain,18.6,18.6,0,129.5,1023.3,81.4,11.9,8,Partly cloudy throughout the day with early morning rain.
2023-05-25,25,16.9,20.5,25,16.9,20.5,13.1,64.1,0,0,0,rain,26.1,26.1,0,89.7,1023.9,78.7,11.9,9,Partly cloudy throughout the day.
2023-05-26,24.1,15.9,19.4,24.1,15.9,19.4,12.7,67.1,0,0,0,rain,21.1,21.1,5.2,95.8,1024.1,80.5,12.8,7,Partly cloudy throughout the day.
2023-05-27,21.9,14.9,17.9,21.9,14.9,17.9,12.9,73.8,0,0,0,rain,25.3,25.3,0.8,74.6,1024.3,85.3,12.3,8,Partly cloudy throughout the day.
2023-05-28,23.8,14.9,18.5,23.8,14.9,18.5,12.8,72,0,0,0,rain,28.7,28.7,0.4,85.5,1024.3,81.6,12.4,8,Partly cloudy throughout the day.
2023-05-29,20,14.8,17,20,14.8,17,14.4,85.3,0.2,100,4.17,rain,21.9,21.9,1.1,74.7,1024.8,89.9,10.7,7,Partly cloudy throughout the day with afternoon rain.
2023-05-30,22,15,18.2,22,15,18.2,13.7,76.2,1,100,4.17,rain,18,18,0.4,109.4,1024.8,86.6,12,7,Partly cloudy throughout the day with morning rain.
2023-05-31,24,14.8,19.1,24,14.8,19.1,13.6,72,0.2,100,8.33,rain,22.3,22.3,0,133.7,1024.7,84.4,12.5,6,Partly cloudy throughout the day with afternoon rain.
